"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Tocantins";"Roubo seguido de morte (latrocínio)";"01/2018";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"02/2018";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"03/2018";0
"Tocantins";"Roubo seguido de morte (latrocínio)";"04/2018";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"05/2018";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"06/2018";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"07/2018";2
"Tocantins";"Roubo seguido de morte (latrocínio)";"08/2018";1
"Tocantins";"Roubo seguido de morte (latrocínio)";"09/2018";2
"Tocantins";"Roubo seguido de morte (latrocínio)";"10/2018";2
"Tocantins";"Roubo seguido de morte (latrocínio)";"11/2018";4
"Tocantins";"Roubo seguido de morte (latrocínio)";"12/2018";1
"Tocantins";"Tentativa de homicídio";"01/2015";29
"Tocantins";"Tentativa de homicídio";"02/2015";25
"Tocantins";"Tentativa de homicídio";"03/2015";10
"Tocantins";"Tentativa de homicídio";"04/2015";22
"Tocantins";"Tentativa de homicídio";"05/2015";35
"Tocantins";"Tentativa de homicídio";"06/2015";32
"Tocantins";"Tentativa de homicídio";"07/2015";32
"Tocantins";"Tentativa de homicídio";"08/2015";24
"Tocantins";"Tentativa de homicídio";"09/2015";33
"Tocantins";"Tentativa de homicídio";"10/2015";37
"Tocantins";"Tentativa de homicídio";"11/2015";35
"Tocantins";"Tentativa de homicídio";"12/2015";42
"Tocantins";"Tentativa de homicídio";"01/2016";31
"Tocantins";"Tentativa de homicídio";"02/2016";36
"Tocantins";"Tentativa de homicídio";"03/2016";33
"Tocantins";"Tentativa de homicídio";"04/2016";34
"Tocantins";"Tentativa de homicídio";"05/2016";51
"Tocantins";"Tentativa de homicídio";"06/2016";22
"Tocantins";"Tentativa de homicídio";"07/2016";25
"Tocantins";"Tentativa de homicídio";"08/2016";20
"Tocantins";"Tentativa de homicídio";"09/2016";20
"Tocantins";"Tentativa de homicídio";"10/2016";29
"Tocantins";"Tentativa de homicídio";"11/2016";26
"Tocantins";"Tentativa de homicídio";"12/2016";14
"Tocantins";"Tentativa de homicídio";"01/2017";20
"Tocantins";"Tentativa de homicídio";"02/2017";29
"Tocantins";"Tentativa de homicídio";"03/2017";16
"Tocantins";"Tentativa de homicídio";"04/2017";16
"Tocantins";"Tentativa de homicídio";"05/2017";30
"Tocantins";"Tentativa de homicídio";"06/2017";31
"Tocantins";"Tentativa de homicídio";"07/2017";28
"Tocantins";"Tentativa de homicídio";"08/2017";31
"Tocantins";"Tentativa de homicídio";"09/2017";29
"Tocantins";"Tentativa de homicídio";"10/2017";33
"Tocantins";"Tentativa de homicídio";"11/2017";40
"Tocantins";"Tentativa de homicídio";"12/2017";32
"Tocantins";"Tentativa de homicídio";"01/2018";37
"Tocantins";"Tentativa de homicídio";"02/2018";26
"Tocantins";"Tentativa de homicídio";"03/2018";28
"Tocantins";"Tentativa de homicídio";"04/2018";28
"Tocantins";"Tentativa de homicídio";"05/2018";29
"Tocantins";"Tentativa de homicídio";"06/2018";33
"Tocantins";"Tentativa de homicídio";"07/2018";34
"Tocantins";"Tentativa de homicídio";"08/2018";46
"Tocantins";"Tentativa de homicídio";"09/2018";37
"Tocantins";"Tentativa de homicídio";"10/2018";46
"Tocantins";"Tentativa de homicídio";"11/2018";41
"Tocantins";"Tentativa de homicídio";"12/2018";32
