"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Alagoas";"Roubo de veículo";"01/2017";301
"Alagoas";"Roubo de veículo";"02/2017";329
"Alagoas";"Roubo de veículo";"03/2017";287
"Alagoas";"Roubo de veículo";"04/2017";213
"Alagoas";"Roubo de veículo";"05/2017";236
"Alagoas";"Roubo de veículo";"06/2017";201
"Alagoas";"Roubo de veículo";"07/2017";240
"Alagoas";"Roubo de veículo";"08/2017";230
"Alagoas";"Roubo de veículo";"09/2017";251
"Alagoas";"Roubo de veículo";"10/2017";285
"Alagoas";"Roubo de veículo";"11/2017";274
"Alagoas";"Roubo de veículo";"12/2017";286
"Alagoas";"Roubo de veículo";"01/2018";290
"Alagoas";"Roubo de veículo";"02/2018";277
"Alagoas";"Roubo de veículo";"03/2018";290
"Alagoas";"Roubo de veículo";"04/2018";314
"Alagoas";"Roubo de veículo";"05/2018";317
"Alagoas";"Roubo de veículo";"06/2018";306
"Alagoas";"Roubo de veículo";"07/2018";371
"Alagoas";"Roubo de veículo";"08/2018";275
"Alagoas";"Roubo de veículo";"09/2018";284
"Alagoas";"Roubo de veículo";"10/2018";267
"Alagoas";"Roubo de veículo";"11/2018";274
"Alagoas";"Roubo de veículo";"12/2018";210
"Alagoas";"Roubo seguido de morte (latrocínio)";"01/2015";5
"Alagoas";"Roubo seguido de morte (latrocínio)";"02/2015";6
"Alagoas";"Roubo seguido de morte (latrocínio)";"03/2015";8
"Alagoas";"Roubo seguido de morte (latrocínio)";"04/2015";2
"Alagoas";"Roubo seguido de morte (latrocínio)";"05/2015";6
"Alagoas";"Roubo seguido de morte (latrocínio)";"06/2015";2
"Alagoas";"Roubo seguido de morte (latrocínio)";"07/2015";8
"Alagoas";"Roubo seguido de morte (latrocínio)";"08/2015";6
"Alagoas";"Roubo seguido de morte (latrocínio)";"09/2015";3
"Alagoas";"Roubo seguido de morte (latrocínio)";"10/2015";1
"Alagoas";"Roubo seguido de morte (latrocínio)";"11/2015";5
"Alagoas";"Roubo seguido de morte (latrocínio)";"12/2015";4
"Alagoas";"Roubo seguido de morte (latrocínio)";"01/2016";5
"Alagoas";"Roubo seguido de morte (latrocínio)";"02/2016";5
"Alagoas";"Roubo seguido de morte (latrocínio)";"03/2016";2
"Alagoas";"Roubo seguido de morte (latrocínio)";"04/2016";9
"Alagoas";"Roubo seguido de morte (latrocínio)";"05/2016";10
"Alagoas";"Roubo seguido de morte (latrocínio)";"06/2016";5
"Alagoas";"Roubo seguido de morte (latrocínio)";"07/2016";2
"Alagoas";"Roubo seguido de morte (latrocínio)";"08/2016";4
"Alagoas";"Roubo seguido de morte (latrocínio)";"09/2016";3
"Alagoas";"Roubo seguido de morte (latrocínio)";"10/2016";5
"Alagoas";"Roubo seguido de morte (latrocínio)";"11/2016";6
"Alagoas";"Roubo seguido de morte (latrocínio)";"12/2016";5
"Alagoas";"Roubo seguido de morte (latrocínio)";"01/2017";7
"Alagoas";"Roubo seguido de morte (latrocínio)";"02/2017";6
"Alagoas";"Roubo seguido de morte (latrocínio)";"03/2017";4
"Alagoas";"Roubo seguido de morte (latrocínio)";"04/2017";4
"Alagoas";"Roubo seguido de morte (latrocínio)";"05/2017";4
"Alagoas";"Roubo seguido de morte (latrocínio)";"06/2017";6
"Alagoas";"Roubo seguido de morte (latrocínio)";"07/2017";1
"Alagoas";"Roubo seguido de morte (latrocínio)";"08/2017";8
"Alagoas";"Roubo seguido de morte (latrocínio)";"09/2017";6
"Alagoas";"Roubo seguido de morte (latrocínio)";"10/2017";3
"Alagoas";"Roubo seguido de morte (latrocínio)";"11/2017";6
"Alagoas";"Roubo seguido de morte (latrocínio)";"12/2017";3
"Alagoas";"Roubo seguido de morte (latrocínio)";"01/2018";5
"Alagoas";"Roubo seguido de morte (latrocínio)";"02/2018";3
"Alagoas";"Roubo seguido de morte (latrocínio)";"03/2018";6
"Alagoas";"Roubo seguido de morte (latrocínio)";"04/2018";3
"Alagoas";"Roubo seguido de morte (latrocínio)";"05/2018";1
"Alagoas";"Roubo seguido de morte (latrocínio)";"06/2018";2
"Alagoas";"Roubo seguido de morte (latrocínio)";"07/2018";0
"Alagoas";"Roubo seguido de morte (latrocínio)";"08/2018";5
"Alagoas";"Roubo seguido de morte (latrocínio)";"09/2018";7
"Alagoas";"Roubo seguido de morte (latrocínio)";"10/2018";2
"Alagoas";"Roubo seguido de morte (latrocínio)";"11/2018";0
"Alagoas";"Roubo seguido de morte (latrocínio)";"12/2018";3
"Alagoas";"Tentativa de homicídio";"01/2015";40
"Alagoas";"Tentativa de homicídio";"02/2015";62
"Alagoas";"Tentativa de homicídio";"03/2015";65
"Alagoas";"Tentativa de homicídio";"04/2015";65
"Alagoas";"Tentativa de homicídio";"05/2015";55
"Alagoas";"Tentativa de homicídio";"06/2015";48
"Alagoas";"Tentativa de homicídio";"07/2015";51
"Alagoas";"Tentativa de homicídio";"08/2015";55
"Alagoas";"Tentativa de homicídio";"09/2015";50
"Alagoas";"Tentativa de homicídio";"10/2015";67
"Alagoas";"Tentativa de homicídio";"11/2015";73
"Alagoas";"Tentativa de homicídio";"12/2015";73
"Alagoas";"Tentativa de homicídio";"01/2016";70
"Alagoas";"Tentativa de homicídio";"02/2016";60
"Alagoas";"Tentativa de homicídio";"03/2016";80
"Alagoas";"Tentativa de homicídio";"04/2016";57
"Alagoas";"Tentativa de homicídio";"05/2016";41
"Alagoas";"Tentativa de homicídio";"06/2016";40
"Alagoas";"Tentativa de homicídio";"07/2016";45
"Alagoas";"Tentativa de homicídio";"08/2016";55
"Alagoas";"Tentativa de homicídio";"09/2016";55
"Alagoas";"Tentativa de homicídio";"10/2016";58
"Alagoas";"Tentativa de homicídio";"11/2016";45
"Alagoas";"Tentativa de homicídio";"12/2016";73
"Alagoas";"Tentativa de homicídio";"01/2017";55
"Alagoas";"Tentativa de homicídio";"02/2017";36
"Alagoas";"Tentativa de homicídio";"03/2017";56
"Alagoas";"Tentativa de homicídio";"04/2017";58
"Alagoas";"Tentativa de homicídio";"05/2017";41
"Alagoas";"Tentativa de homicídio";"06/2017";57
"Alagoas";"Tentativa de homicídio";"07/2017";30
"Alagoas";"Tentativa de homicídio";"08/2017";54
"Alagoas";"Tentativa de homicídio";"09/2017";57
"Alagoas";"Tentativa de homicídio";"10/2017";57
"Alagoas";"Tentativa de homicídio";"11/2017";35
"Alagoas";"Tentativa de homicídio";"12/2017";41
"Alagoas";"Tentativa de homicídio";"01/2018";47
"Alagoas";"Tentativa de homicídio";"02/2018";43
"Alagoas";"Tentativa de homicídio";"03/2018";36
"Alagoas";"Tentativa de homicídio";"04/2018";34
"Alagoas";"Tentativa de homicídio";"05/2018";55
"Alagoas";"Tentativa de homicídio";"06/2018";52
"Alagoas";"Tentativa de homicídio";"07/2018";24
"Alagoas";"Tentativa de homicídio";"08/2018";32
"Alagoas";"Tentativa de homicídio";"09/2018";28
"Alagoas";"Tentativa de homicídio";"10/2018";31
"Alagoas";"Tentativa de homicídio";"11/2018";32
"Alagoas";"Tentativa de homicídio";"12/2018";26
