"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Maranhão";"Furto de veículo";"09/2018";251
"Maranhão";"Homicídio doloso";"09/2018";148
"Maranhão";"Lesão corporal seguida de morte";"09/2018";2
"Maranhão";"Roubo a instituição financeira";"09/2018";1
"Maranhão";"Roubo de carga";"09/2018";2
"Maranhão";"Roubo de veículo";"09/2018";297
"Maranhão";"Roubo seguido de morte (latrocínio)";"09/2018";4
"Maranhão";"Tentativa de homicídio";"09/2018";81
"Maranhão";"Estupro";"10/2018";124
"Maranhão";"Furto de veículo";"10/2018";283
"Maranhão";"Homicídio doloso";"10/2018";145
"Maranhão";"Lesão corporal seguida de morte";"10/2018";1
"Maranhão";"Roubo a instituição financeira";"10/2018";3
"Maranhão";"Roubo de carga";"10/2018";3
"Maranhão";"Roubo de veículo";"10/2018";340
"Maranhão";"Roubo seguido de morte (latrocínio)";"10/2018";4
"Maranhão";"Tentativa de homicídio";"10/2018";102
"Maranhão";"Estupro";"11/2018";85
"Maranhão";"Furto de veículo";"11/2018";259
"Maranhão";"Homicídio doloso";"11/2018";126
"Maranhão";"Lesão corporal seguida de morte";"11/2018";0
"Maranhão";"Roubo a instituição financeira";"11/2018";2
"Maranhão";"Roubo de carga";"11/2018";2
"Maranhão";"Roubo de veículo";"11/2018";318
"Maranhão";"Roubo seguido de morte (latrocínio)";"11/2018";8
"Maranhão";"Tentativa de homicídio";"11/2018";68
"Maranhão";"Estupro";"12/2018";88
"Maranhão";"Furto de veículo";"12/2018";272
"Maranhão";"Homicídio doloso";"12/2018";126
"Maranhão";"Lesão corporal seguida de morte";"12/2018";1
"Maranhão";"Roubo a instituição financeira";"12/2018";4
"Maranhão";"Roubo de carga";"12/2018";3
"Maranhão";"Roubo de veículo";"12/2018";319
"Maranhão";"Roubo seguido de morte (latrocínio)";"12/2018";6
"Maranhão";"Tentativa de homicídio";"12/2018";81
