"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Goiás";"Roubo de veículo";"11/2016";1173
"Goiás";"Roubo de veículo";"12/2016";1134
"Goiás";"Roubo de veículo";"01/2017";1146
"Goiás";"Roubo de veículo";"02/2017";1043
"Goiás";"Roubo de veículo";"03/2017";1251
"Goiás";"Roubo de veículo";"04/2017";1129
"Goiás";"Roubo de veículo";"05/2017";1175
"Goiás";"Roubo de veículo";"06/2017";1123
"Goiás";"Roubo de veículo";"07/2017";1134
"Goiás";"Roubo de veículo";"08/2017";1041
"Goiás";"Roubo de veículo";"09/2017";963
"Goiás";"Roubo de veículo";"10/2017";995
"Goiás";"Roubo de veículo";"11/2017";987
"Goiás";"Roubo de veículo";"12/2017";859
"Goiás";"Roubo de veículo";"01/2018";1005
"Goiás";"Roubo de veículo";"02/2018";873
"Goiás";"Roubo de veículo";"03/2018";900
"Goiás";"Roubo de veículo";"04/2018";775
"Goiás";"Roubo de veículo";"05/2018";730
"Goiás";"Roubo de veículo";"06/2018";672
"Goiás";"Roubo de veículo";"07/2018";596
"Goiás";"Roubo de veículo";"08/2018";563
"Goiás";"Roubo de veículo";"09/2018";578
"Goiás";"Roubo de veículo";"10/2018";571
"Goiás";"Roubo de veículo";"11/2018";604
"Goiás";"Roubo de veículo";"12/2018";515
"Goiás";"Roubo seguido de morte (latrocínio)";"01/2015";9
"Goiás";"Roubo seguido de morte (latrocínio)";"02/2015";4
"Goiás";"Roubo seguido de morte (latrocínio)";"03/2015";7
"Goiás";"Roubo seguido de morte (latrocínio)";"04/2015";12
"Goiás";"Roubo seguido de morte (latrocínio)";"05/2015";8
"Goiás";"Roubo seguido de morte (latrocínio)";"06/2015";8
"Goiás";"Roubo seguido de morte (latrocínio)";"07/2015";7
"Goiás";"Roubo seguido de morte (latrocínio)";"08/2015";5
"Goiás";"Roubo seguido de morte (latrocínio)";"09/2015";12
"Goiás";"Roubo seguido de morte (latrocínio)";"10/2015";4
"Goiás";"Roubo seguido de morte (latrocínio)";"11/2015";9
"Goiás";"Roubo seguido de morte (latrocínio)";"12/2015";4
"Goiás";"Roubo seguido de morte (latrocínio)";"01/2016";2
"Goiás";"Roubo seguido de morte (latrocínio)";"02/2016";0
"Goiás";"Roubo seguido de morte (latrocínio)";"03/2016";2
"Goiás";"Roubo seguido de morte (latrocínio)";"04/2016";10
"Goiás";"Roubo seguido de morte (latrocínio)";"05/2016";7
"Goiás";"Roubo seguido de morte (latrocínio)";"06/2016";14
"Goiás";"Roubo seguido de morte (latrocínio)";"07/2016";8
"Goiás";"Roubo seguido de morte (latrocínio)";"08/2016";13
"Goiás";"Roubo seguido de morte (latrocínio)";"09/2016";13
"Goiás";"Roubo seguido de morte (latrocínio)";"10/2016";12
"Goiás";"Roubo seguido de morte (latrocínio)";"11/2016";4
"Goiás";"Roubo seguido de morte (latrocínio)";"12/2016";8
"Goiás";"Roubo seguido de morte (latrocínio)";"01/2017";9
"Goiás";"Roubo seguido de morte (latrocínio)";"02/2017";7
"Goiás";"Roubo seguido de morte (latrocínio)";"03/2017";8
"Goiás";"Roubo seguido de morte (latrocínio)";"04/2017";8
"Goiás";"Roubo seguido de morte (latrocínio)";"05/2017";9
"Goiás";"Roubo seguido de morte (latrocínio)";"06/2017";8
"Goiás";"Roubo seguido de morte (latrocínio)";"07/2017";6
"Goiás";"Roubo seguido de morte (latrocínio)";"08/2017";11
"Goiás";"Roubo seguido de morte (latrocínio)";"09/2017";5
"Goiás";"Roubo seguido de morte (latrocínio)";"10/2017";10
"Goiás";"Roubo seguido de morte (latrocínio)";"11/2017";10
"Goiás";"Roubo seguido de morte (latrocínio)";"12/2017";7
"Goiás";"Roubo seguido de morte (latrocínio)";"01/2018";10
"Goiás";"Roubo seguido de morte (latrocínio)";"02/2018";7
"Goiás";"Roubo seguido de morte (latrocínio)";"03/2018";8
"Goiás";"Roubo seguido de morte (latrocínio)";"04/2018";11
"Goiás";"Roubo seguido de morte (latrocínio)";"05/2018";7
"Goiás";"Roubo seguido de morte (latrocínio)";"06/2018";5
"Goiás";"Roubo seguido de morte (latrocínio)";"07/2018";6
"Goiás";"Roubo seguido de morte (latrocínio)";"08/2018";6
"Goiás";"Roubo seguido de morte (latrocínio)";"09/2018";3
"Goiás";"Roubo seguido de morte (latrocínio)";"10/2018";7
"Goiás";"Roubo seguido de morte (latrocínio)";"11/2018";10
"Goiás";"Roubo seguido de morte (latrocínio)";"12/2018";4
"Goiás";"Tentativa de homicídio";"01/2015";253
"Goiás";"Tentativa de homicídio";"02/2015";240
"Goiás";"Tentativa de homicídio";"03/2015";251
"Goiás";"Tentativa de homicídio";"04/2015";250
"Goiás";"Tentativa de homicídio";"05/2015";263
"Goiás";"Tentativa de homicídio";"06/2015";220
"Goiás";"Tentativa de homicídio";"07/2015";151
"Goiás";"Tentativa de homicídio";"08/2015";177
"Goiás";"Tentativa de homicídio";"09/2015";179
"Goiás";"Tentativa de homicídio";"10/2015";173
"Goiás";"Tentativa de homicídio";"11/2015";166
"Goiás";"Tentativa de homicídio";"12/2015";184
"Goiás";"Tentativa de homicídio";"01/2016";148
"Goiás";"Tentativa de homicídio";"02/2016";186
"Goiás";"Tentativa de homicídio";"03/2016";174
"Goiás";"Tentativa de homicídio";"04/2016";308
"Goiás";"Tentativa de homicídio";"05/2016";243
"Goiás";"Tentativa de homicídio";"06/2016";190
"Goiás";"Tentativa de homicídio";"07/2016";209
"Goiás";"Tentativa de homicídio";"08/2016";233
"Goiás";"Tentativa de homicídio";"09/2016";244
"Goiás";"Tentativa de homicídio";"10/2016";246
"Goiás";"Tentativa de homicídio";"11/2016";216
"Goiás";"Tentativa de homicídio";"12/2016";207
"Goiás";"Tentativa de homicídio";"01/2017";224
"Goiás";"Tentativa de homicídio";"02/2017";180
"Goiás";"Tentativa de homicídio";"03/2017";227
"Goiás";"Tentativa de homicídio";"04/2017";211
"Goiás";"Tentativa de homicídio";"05/2017";194
"Goiás";"Tentativa de homicídio";"06/2017";189
"Goiás";"Tentativa de homicídio";"07/2017";218
"Goiás";"Tentativa de homicídio";"08/2017";206
"Goiás";"Tentativa de homicídio";"09/2017";193
"Goiás";"Tentativa de homicídio";"10/2017";205
"Goiás";"Tentativa de homicídio";"11/2017";170
"Goiás";"Tentativa de homicídio";"12/2017";206
"Goiás";"Tentativa de homicídio";"01/2018";155
"Goiás";"Tentativa de homicídio";"02/2018";163
"Goiás";"Tentativa de homicídio";"03/2018";192
"Goiás";"Tentativa de homicídio";"04/2018";144
"Goiás";"Tentativa de homicídio";"05/2018";186
"Goiás";"Tentativa de homicídio";"06/2018";148
"Goiás";"Tentativa de homicídio";"07/2018";149
"Goiás";"Tentativa de homicídio";"08/2018";145
"Goiás";"Tentativa de homicídio";"09/2018";168
"Goiás";"Tentativa de homicídio";"10/2018";154
"Goiás";"Tentativa de homicídio";"11/2018";158
"Goiás";"Tentativa de homicídio";"12/2018";206
