"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"04/2017";2
"Mato Grosso";"Tentativa de homicídio";"04/2017";121
"Mato Grosso";"Estupro";"05/2017";166
"Mato Grosso";"Furto de veículo";"05/2017";242
"Mato Grosso";"Homicídio doloso";"05/2017";99
"Mato Grosso";"Lesão corporal seguida de morte";"05/2017";6
"Mato Grosso";"Roubo a instituição financeira";"05/2017";1
"Mato Grosso";"Roubo de carga";"05/2017";1
"Mato Grosso";"Roubo de veículo";"05/2017";257
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"05/2017";1
"Mato Grosso";"Tentativa de homicídio";"05/2017";121
"Mato Grosso";"Estupro";"06/2017";144
"Mato Grosso";"Furto de veículo";"06/2017";264
"Mato Grosso";"Homicídio doloso";"06/2017";70
"Mato Grosso";"Lesão corporal seguida de morte";"06/2017";0
"Mato Grosso";"Roubo a instituição financeira";"06/2017";0
"Mato Grosso";"Roubo de carga";"06/2017";4
"Mato Grosso";"Roubo de veículo";"06/2017";210
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"06/2017";4
"Mato Grosso";"Tentativa de homicídio";"06/2017";96
"Mato Grosso";"Estupro";"07/2017";131
"Mato Grosso";"Furto de veículo";"07/2017";255
"Mato Grosso";"Homicídio doloso";"07/2017";82
"Mato Grosso";"Lesão corporal seguida de morte";"07/2017";2
"Mato Grosso";"Roubo a instituição financeira";"07/2017";0
"Mato Grosso";"Roubo de carga";"07/2017";0
"Mato Grosso";"Roubo de veículo";"07/2017";192
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"07/2017";6
"Mato Grosso";"Tentativa de homicídio";"07/2017";109
"Mato Grosso";"Estupro";"08/2017";171
"Mato Grosso";"Furto de veículo";"08/2017";203
"Mato Grosso";"Homicídio doloso";"08/2017";77
"Mato Grosso";"Lesão corporal seguida de morte";"08/2017";2
"Mato Grosso";"Roubo a instituição financeira";"08/2017";0
"Mato Grosso";"Roubo de carga";"08/2017";1
"Mato Grosso";"Roubo de veículo";"08/2017";192
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"08/2017";1
"Mato Grosso";"Tentativa de homicídio";"08/2017";102
"Mato Grosso";"Estupro";"09/2017";152
"Mato Grosso";"Furto de veículo";"09/2017";218
"Mato Grosso";"Homicídio doloso";"09/2017";82
"Mato Grosso";"Lesão corporal seguida de morte";"09/2017";0
"Mato Grosso";"Roubo a instituição financeira";"09/2017";0
"Mato Grosso";"Roubo de carga";"09/2017";0
"Mato Grosso";"Roubo de veículo";"09/2017";231
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"09/2017";7
