"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Mato Grosso do Sul";"Homicídio Doloso";"09/2018";"Feminino";4
"Mato Grosso do Sul";"Homicídio Doloso";"09/2018";"Masculino";28
"Mato Grosso do Sul";"Homicídio Doloso";"09/2018";"Sexo NI";5
"Mato Grosso do Sul";"Homicídio Doloso";"10/2012";"Feminino";4
"Mato Grosso do Sul";"Homicídio Doloso";"10/2012";"Masculino";44
"Mato Grosso do Sul";"Homicídio Doloso";"10/2013";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"10/2013";"Masculino";40
"Mato Grosso do Sul";"Homicídio Doloso";"10/2014";"Feminino";7
"Mato Grosso do Sul";"Homicídio Doloso";"10/2014";"Masculino";42
"Mato Grosso do Sul";"Homicídio Doloso";"10/2015";"Feminino";3
"Mato Grosso do Sul";"Homicídio Doloso";"10/2015";"Masculino";42
"Mato Grosso do Sul";"Homicídio Doloso";"10/2015";"Sexo NI";3
"Mato Grosso do Sul";"Homicídio Doloso";"10/2016";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"10/2016";"Masculino";43
"Mato Grosso do Sul";"Homicídio Doloso";"10/2016";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"10/2017";"Feminino";3
"Mato Grosso do Sul";"Homicídio Doloso";"10/2017";"Masculino";42
"Mato Grosso do Sul";"Homicídio Doloso";"10/2017";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"10/2018";"Feminino";3
"Mato Grosso do Sul";"Homicídio Doloso";"10/2018";"Masculino";23
"Mato Grosso do Sul";"Homicídio Doloso";"10/2018";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"11/2012";"Feminino";12
"Mato Grosso do Sul";"Homicídio Doloso";"11/2012";"Masculino";42
"Mato Grosso do Sul";"Homicídio Doloso";"11/2013";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"11/2013";"Masculino";45
